variant,artifact_name,ndcg,catalog_div,lexical_div,judge,official_composite,fixed_ranking_term,lexical_term,judge_term,reconstructed_composite,ranking_hash,lexical_delta_vs_initial,judge_delta_vs_initial,response_delta_vs_initial,ndcg_equivalent_delta
Initial response,submission_exp058_wide100_ens6_A.zip,0.4355,0.028,0.5925,4.05,0.5086,0.22055,0.059250000000000004,0.22874999999999998,0.50855,9a312a41f70249455b1896b780abfe3006820d0aa66c148926ae5e09fd8790b1,0.0,0.0,0.0,0.0
"Qwen 4B, revised",submission_exp063_v2_qwen4b_A.zip,0.4355,0.028,0.6605,4.2,0.5266,0.22055,0.06605,0.24,0.5266,9a312a41f70249455b1896b780abfe3006820d0aa66c148926ae5e09fd8790b1,0.0067999999999999935,0.01125000000000001,0.018050000000000004,0.03610000000000001
"Claude, short",submission_exp063_v2_claude_A.zip,0.4355,0.028,0.8133,4.3,0.5494,0.22055,0.08133000000000001,0.24749999999999997,0.54938,9a312a41f70249455b1896b780abfe3006820d0aa66c148926ae5e09fd8790b1,0.02208000000000001,0.01874999999999999,0.04083,0.08166
"Claude, grounded long",submission_exp063_v2_claude_long_A.zip,0.4355,0.028,0.7983,4.9,0.5929,0.22055,0.07983000000000001,0.29250000000000004,0.5928800000000001,9a312a41f70249455b1896b780abfe3006820d0aa66c148926ae5e09fd8790b1,0.020580000000000008,0.06375000000000006,0.08433000000000007,0.16866000000000014
"Gemini Pro, grounded",submission_exp064_v2_gemini_pro_A.zip,0.4355,0.028,0.7204,4.3,0.5401,0.22055,0.07204,0.24749999999999997,0.54009,9a312a41f70249455b1896b780abfe3006820d0aa66c148926ae5e09fd8790b1,0.012790000000000003,0.01874999999999999,0.03153999999999999,0.06307999999999998
