pivot_definition,pivot_display_name,outcome,n_observations,n_sessions,pivot_coefficient,cluster_robust_se,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,two_sided_p_value,iterations
broad_discovery,broad discovery/change cue,cumulative_repeat,106393,15199,0.6600038324977862,0.0288859481327835,1.934799749503579,1.8283033661701775,2.0474994139078087,1.5085567506621957e-115,5
broad_discovery,broad discovery/change cue,adjacent_repeat,106393,15199,0.60965767232194,0.029335483500663263,1.839801476000417,1.7370029423634237,1.948683786619122,6.2638263376477584e-96,5
artist_explicit,artist-targeted (primary),cumulative_repeat,106393,15199,0.6438933694020542,0.0269303640839848,1.903878972341326,1.8059934455179454,2.0070699316873277,2.4355940967179875e-126,5
artist_explicit,artist-targeted (primary),adjacent_repeat,106393,15199,0.5415448893789073,0.027103253999584208,1.7186599517976884,1.6297448807243191,1.812426021304916,8.090533564327389e-89,5
core_change,core change cue,cumulative_repeat,106393,15199,0.8294742409698959,0.03567664531268079,2.2921133241345566,2.1373127188284564,2.4581257784097073,1.4297594126481515e-119,6
core_change,core change cue,adjacent_repeat,106393,15199,0.7516119637695529,0.03516885485733446,2.120415295853267,1.9791793218530853,2.271729992954245,2.4598115239065994e-101,5
